Filesystem: -yaffs1- Test: -fileIO- Result: 1920190 Cycles
Failparam - Mean Erases: 10000, Erase-Deviation: 0, Mean Ionizing Dose: 0, Ionizing Dose Deviation: 0
"pagenumber","erases","writes","reads"
748,10001,20002,20002
749,10001,20002,20002
750,10001,20002,20002
751,10001,20002,10001
752,10001,20002,20002
753,10001,20002,20002
754,10001,20002,20002
755,10001,20002,20002
756,10001,20002,10001
757,10001,20002,20002
758,10001,20002,20002
759,10001,20002,20002
760,10001,20002,20002
761,10001,20002,10001
762,10001,20002,20002
763,10001,20002,20002
764,10001,20002,20002
765,10001,20002,20002
766,10001,20002,10001
767,10001,20002,20002
768,10001,20003,20005
769,10001,20003,20003
770,10001,20002,20002
771,10001,20002,10001
772,10001,20002,20002
773,10001,20002,20002
774,10001,20002,20002
775,10001,20002,20002
776,10001,20002,10001
777,10001,20002,20002
778,10001,20002,20002
779,10001,20002,20002
780,10001,20002,20002
781,10001,20002,10001
782,10001,20002,20002
783,10001,20002,20002
784,10001,20002,20002
785,10001,20002,20002
786,10001,20002,10001
787,10001,20002,20002
788,10001,20002,20002
789,10001,20002,20002
790,10001,20002,20002
791,10001,20002,10001
792,10001,20002,20002
793,10001,20002,20002
794,10001,20002,20002
795,10001,20002,20002
796,10001,20002,10001
797,10001,20002,20002
798,10001,20002,20002
799,10001,20002,20002
800,10001,20002,20002
801,10001,20002,10001
802,10001,20002,20002
803,10001,20002,20002
804,10001,20002,20002
805,10001,20002,20002
806,10001,20002,10001
807,10001,20002,20002
808,10001,20002,20002
809,10001,20002,20002
810,10001,20002,20002
811,10001,20002,10001
812,10001,20002,20002
813,10001,20002,20002
814,10001,20002,20002
815,10001,20002,20002
816,10001,20002,10001
817,10001,20002,20002
818,10001,20002,20002
819,10001,20002,20002
820,10001,20002,20002
821,10001,20002,10001
822,10001,20002,20002
823,10001,20002,20002
824,10001,20002,20002
825,10001,20002,20002
826,10001,20002,10001
827,10001,20002,20002
828,10001,20002,20002
829,10001,20002,20002
830,10001,20002,20002
831,10001,20002,10001
832,10001,20003,20005
833,10001,20002,20002
834,10001,20002,20002
835,10001,20002,20002
836,10001,20002,10002
837,10001,20002,20001
838,10001,20002,20002
839,10001,20002,20002
840,10001,20002,20002
841,10001,20002,10002
842,10001,20002,20001
843,10001,20002,20002
844,10001,20002,20002
845,10001,20002,20002
846,10001,20002,10002
847,10001,20002,20001
848,10001,20002,20002
849,10001,20002,20002
850,10001,20002,20002
851,10001,20002,10002
852,10001,20002,20001
853,10001,20002,20002
854,10001,20002,20002
855,10001,20002,20002
856,10001,20002,10002
857,10001,20002,20001
858,10001,20002,20002
859,10001,20002,20002
860,10001,20002,20002
861,10001,20002,10002
862,10001,20002,20001
863,10001,20002,20002
864,10001,20002,20002
865,10001,20002,20002
866,10001,20002,10002
867,10001,20002,20001
868,10001,20002,20002
869,10001,20002,20002
870,10001,20002,20002
871,10001,20002,10002
872,10001,20002,20001
873,10001,20002,20002
874,10001,20002,20002
875,10001,20002,20002
876,10001,20002,10002
877,10001,20002,20001
878,10001,20002,20002
879,10001,20002,20002
880,10001,20002,20002
881,10001,20002,10002
882,10001,20002,20001
883,10001,20002,20002
884,10001,20002,20002
885,10001,20002,20002
886,10001,20002,10002
887,10001,20002,20001
888,10001,20002,20002
889,10001,20002,20002
890,10001,20002,20002
891,10001,20002,10002
892,10001,20001,20001
893,10001,20001,20002
894,10001,20001,20002
895,10001,20001,20002
896,10001,20003,10005
897,10001,20002,20002
898,10001,20002,20001
899,10001,20002,20001
900,10001,20002,20001
901,10001,20002,10001
902,10001,20002,20001
903,10001,20002,20002
904,10001,20002,20002
905,10001,20002,20002
906,10001,20002,10002
907,10001,20002,20001
908,10001,20002,20002
909,10001,20002,20002
910,10001,20002,20002
911,10001,20002,10002
912,10001,20002,20001
913,10001,20002,20002
914,10001,20002,20002
915,10001,20002,20002
916,10001,20002,10002
917,10001,20002,20001
918,10001,20002,20002
919,10001,20002,20002
920,10001,20002,20002
921,10001,20002,10002
922,10001,20002,20001
923,10001,20002,20002
924,10001,20002,20002
925,10001,20002,20002
926,10001,20002,10002
927,10001,20002,20001
928,10001,20002,20002
929,10001,20002,20002
930,10001,20002,20002
931,10001,20002,10002
932,10001,20002,20001
933,10001,20002,20002
934,10001,20002,20002
935,10001,20002,20002
936,10001,20002,10002
937,10001,20002,20001
938,10001,20002,20002
939,10001,20002,20002
940,10001,20002,20002
941,10001,20002,10002
942,10001,20002,20001
943,10001,20002,20002
944,10001,20002,20002
945,10001,20002,20002
946,10001,20002,10002
947,10001,20002,20001
948,10001,20002,20002
949,10001,20002,20002
950,10001,20002,20002
951,10001,20002,10002
952,10001,20002,20001
953,10001,20002,20002
954,10001,20002,20002
955,10001,20001,20003
956,10001,20001,10002
957,10001,20001,20001
958,10001,20001,20001
959,10001,20001,20001
960,10000,20001,20003
961,10000,20001,10002
962,10000,20001,20001
963,10000,20002,20001
964,10000,20001,20001
965,10000,20001,20001
966,10000,20001,10000
967,10000,20000,20000
968,10000,20000,20000
969,10000,20000,20000
970,10000,20000,20000
971,10000,20000,10000
972,10000,20000,20000
973,10000,20000,20000
974,10000,20000,20000
975,10000,20000,20000
976,10000,20000,10000
977,10000,20000,20000
978,10000,20000,20000
979,10000,20000,20000
980,10000,20000,20000
981,10000,20000,10000
982,10000,20000,20000
983,10000,20000,20000
984,10000,20000,20000
985,10000,20000,20000
986,10000,20000,10000
987,10000,20000,20000
988,10000,20000,20000
989,10000,20000,20000
990,10000,20000,20000
991,10000,20000,10000
992,10000,20000,20000
993,10000,20000,20000
994,10000,20000,20000
995,10000,20000,20000
996,10000,20000,10000
997,10000,20000,20000
998,10000,20000,20000
999,10000,20000,20000
1000,10000,20000,20000
1001,10000,20000,10000
1002,10000,20000,20000
1003,10000,20000,20000
1004,10000,20000,20000
1005,10000,20000,20000
1006,10000,20000,10000
1007,10000,20000,20000
1008,10000,20000,20000
1009,10000,20000,20000
1010,10000,20000,20000
1011,10000,20000,10000
1012,10000,20000,20000
1013,10000,20000,20000
1014,10000,20000,20000
1015,10000,20000,20000
1016,10000,20000,10000
1017,10000,20000,20000
1018,10000,20000,20000
1019,10000,20000,20000
1020,10000,20000,20000
1021,10000,20000,10000
1022,10000,20000,20000
1023,10000,20000,20000


